"K-111114","fig_25234","0.950000011920929"
"K-111052","fig_2373","0.852999997138977"
"K-103402","fig_9676","1.0"
"K-104841","fig_8996","1.0"
"K-106000","fig_12728","0.899999988079071"
"K-102375","fig_20462","0.7700000047683716"
"K-105672","fig_30487","1.0"
"K-107228","fig_4644","1.0"
"K-113529","fig_14179","0.9268571972846985"
"K-111640","fig_752","1.0"
"K-110707","fig_25692","0.9625"
"K-107904","fig_12488","1.0"
"K-115758","fig_32255","1.0"
"K-116348","fig_34360","1.0"
"K-105958","fig_25446","1.0"
"K-122584","fig_10275","1.0"
"K-113083","fig_14216","0.9040000200271606"
"K-104705","fig_11430","0.8800000071525573"
"K-126182","fig_29203","1.0"
"K-101535","fig_25092","0.775"
"K-119537","fig_7777","1.0"
"K-110296","fig_3542","0.9399999856948853"
"K-119795","fig_17248","0.925"
"K-118274","fig_29732","1.0"
"K-114603","fig_35728","0.9666666507720947"
"K-111538","fig_1536","1.0"
"K-110438","fig_33462","1.0"
"K-124203","fig_22947","1.0"
"K-119069","fig_5462","1.0"
"K-100693","fig_4853","1.0"
"K-105170","fig_22679","1.0"
"K-103110","fig_22316","0.925"
"K-102161","fig_12249","0.9571428775787354"
"K-121749","fig_12992","1.0"
"K-104112","fig_4973","0.9220000028610229"
"K-107350","fig_29344","1.0"
"K-114750","fig_21045","1.0"
"K-106161","fig_7641","0.9666666507720947"
"K-115954","fig_8010","0.9196428775787353"
"K-113795","fig_17204","1.0"
"K-117495","fig_35715","0.9571428775787354"
"K-117733","fig_31329","0.9625"
"K-117203","fig_19867","1.0"
"K-117995","fig_12425","1.0"
"K-107532","fig_10775","1.0"
"K-117006","fig_32859","1.0"
"K-119781","fig_10537","1.0"
"K-108499","fig_14896","0.899999988079071"
"K-102238","fig_9225","1.0"
"K-115385","fig_15928","1.0"
"K-103718","fig_27971","1.0"
"K-125373","fig_24232","0.950000011920929"
"K-122391","fig_17965","1.0"
"K-118702","fig_35004","1.0"
"K-107036","fig_22782","1.0"
"K-126567","fig_18803","1.0"
"K-115292","fig_4122","1.0"
"K-107562","fig_9575","1.0"
"K-103775","fig_16233","1.0"
"K-118676","fig_31606","1.0"
"K-124857","fig_26873","1.0"
"K-116667","fig_36007","1.0"
"K-102690","fig_25703","0.9571428775787354"
"K-121475","fig_11347","1.0"
"K-117597","fig_33981","1.0"
"K-117949","fig_30241","1.0"
"K-113968","fig_23487","1.0"
"K-114842","fig_34108","0.8400000095367433"
"K-120509","fig_16043","1.0"
"K-100132","fig_20885","0.8780952453613281"
"K-106910","fig_36556","1.0"
"K-102727","fig_28955","1.0"
"K-121522","fig_18278","0.8114285826683045"
"K-116046","fig_28489","1.0"
"K-114741","fig_1732","1.0"
"K-110255","fig_24556","0.9399999856948853"
"K-102976","fig_8083","1.0"
"K-114373","fig_18538","1.0"
"K-106239","fig_5092","1.0"
"K-114515","fig_20317","1.0"
"K-119137","fig_11539","0.85"
"K-108113","fig_21072","1.0"
"K-119631","fig_32320","1.0"
"K-100572","fig_23154","1.0"
"K-107989","fig_30218","1.0"
"K-115679","fig_1201","0.950000011920929"
"K-125414","fig_24649","1.0"
"K-117390","fig_30468","0.8314285993576049"
"K-107160","fig_24609","0.8166666507720948"
"K-104876","fig_27933","1.0"
"K-117258","fig_22781","1.0"
"K-115779","fig_25612","0.9571428775787354"
"K-115921","fig_35498","1.0"
"K-120572","fig_22284","1.0"
"K-117516","fig_22727","1.0"
"K-114574","fig_13804","1.0"
"K-117700","fig_18284","1.0"
"K-114484","fig_14235","1.0"
"K-117224","fig_30516","1.0"
"K-107417","fig_10997","1.0"
"K-120966","fig_25386","1.0"
"K-113627","fig_32004","1.0"
"K-117106","fig_11342","1.0"
"K-124622","fig_4344","0.9399999856948853"
"K-113902","fig_33251","1.0"
"K-113682","fig_11045","1.0"
"K-110929","fig_17643","1.0"
"K-113179","fig_18551","1.0"
"K-121161","fig_15466","0.7650000095367432"
"K-120836","fig_3692","1.0"
"K-114995","fig_959","1.0"
"K-110353","fig_31967","1.0"
"K-116175","fig_19801","0.9749999880790711"
"K-113652","fig_11852","0.9399999856948853"
"K-103165","fig_27115","0.9142857193946838"
"K-102999","fig_36454","0.9399999856948853"
"K-123602","fig_28291","1.0"
"K-107560","fig_6617","1.0"
"K-103356","fig_19362","0.9333333373069763"
"K-111939","fig_18007","1.0"
"K-109617","fig_23256","1.0"
"K-110745","fig_28001","1.0"
"K-109250","fig_33693","1.0"
"K-110005","fig_30930","1.0"
"K-121032","fig_23162","1.0"
"K-118810","fig_4933","0.9333333373069763"
"K-116176","fig_26581","1.0"
"K-110759","fig_7568","1.0"
"K-111880","fig_20169","1.0"
"K-103900","fig_18957","1.0"
"K-124237","fig_15439","1.0"
"K-103213","fig_35872","1.0"
"K-121705","fig_32294","1.0"
"K-113634","fig_27614","1.0"
"K-120995","fig_29929","0.9571428775787354"
"K-124327","fig_9311","1.0"
"K-106042","fig_17399","1.0"
"K-110178","fig_28227","1.0"
"K-118541","fig_7021","1.0"
"K-108239","fig_14493","0.899999988079071"
"K-106121","fig_3422","1.0"
"K-125437","fig_32692","1.0"
"K-111997","fig_12139","1.0"
"K-116441","fig_1559","1.0"
"K-109654","fig_21949","0.9050000190734864"
"K-104887","fig_4659","1.0"
"K-107366","fig_21203","0.9625"
"K-123092","fig_9940","1.0"
"K-101312","fig_10830","1.0"
"K-126471","fig_34899","1.0"
"K-109714","fig_10718","0.9828571438789367"
"K-114920","fig_11322","1.0"
"K-125657","fig_9090","1.0"
"K-109862","fig_28978","1.0"
"K-108112","fig_32149","1.0"
"K-112980","fig_15377","0.8599999904632568"
"K-122676","fig_16508","0.925"
"K-107446","fig_30295","1.0"
"K-118486","fig_4584","1.0"
"K-105151","fig_5976","1.0"
"K-123203","fig_7659","1.0"
"K-108129","fig_17756","1.0"
"K-118596","fig_14822","1.0"
"K-106862","fig_11562","0.85"
"K-122776","fig_23835","1.0"
"K-117146","fig_34110","1.0"
"K-113561","fig_29257","1.0"
"K-123010","fig_35614","1.0"
"K-108314","fig_14246","1.0"
"K-126540","fig_34043","1.0"
"K-125572","fig_16289","0.9499999761581421"
"K-112489","fig_9489","0.925"
"K-116277","fig_18176","1.0"
"K-105741","fig_35867","1.0"
"K-111580","fig_17062","0.9399999856948853"
"K-111436","fig_7882","0.9333333373069763"
"K-115436","fig_14120","1.0"
"K-112911","fig_34419","1.0"
"K-121922","fig_16031","0.9066666722297668"
"K-101520","fig_30109","1.0"
"K-119788","fig_24918","1.0"
"K-101563","fig_14237","1.0"
"K-109785","fig_8873","1.0"
"K-120488","fig_32955","0.8199999928474426"
"K-102858","fig_15469","0.9571428775787354"
"K-105855","fig_23126","1.0"
"K-103173","fig_27994","0.8800000071525573"
"K-126373","fig_33188","1.0"
"K-108939","fig_13567","1.0"
"K-117289","fig_20649","1.0"
"K-109811","fig_870","1.0"
"K-104458","fig_16882","1.0"
"K-124429","fig_16426","1.0"
"K-122815","fig_5418","1.0"
"K-100201","fig_918","1.0"
"K-123251","fig_30243","1.0"
"K-103172","fig_196","0.899999988079071"
"K-117066","fig_19400","1.0"
"K-106426","fig_12963","0.9399999856948853"
"K-118732","fig_17391","1.0"
"K-114707","fig_5763","1.0"
"K-122962","fig_4966","0.9499999761581421"
"K-100263","fig_11897","1.0"
"K-115399","fig_19209","1.0"
"K-116922","fig_31302","1.0"
"K-112163","fig_19871","1.0"
"K-112170","fig_27872","0.9399999856948853"
"K-103241","fig_20066","1.0"
"K-100913","fig_15419","1.0"
"K-125113","fig_13055","0.8833333492279053"
